Patient,N_Win,Dir
h04,36,data_down\per_channel\sane\h04_w36_ch17.pt
h04,36,data_down\per_channel\sane\h04_w36_ch18.pt
h04,36,data_down\per_channel\sane\h04_w36_ch19.pt
h04,37,data_down\per_channel\sane\h04_w37_ch1.pt
h04,37,data_down\per_channel\sane\h04_w37_ch2.pt
h04,37,data_down\per_channel\sane\h04_w37_ch3.pt
h04,37,data_down\per_channel\sane\h04_w37_ch4.pt
h04,37,data_down\per_channel\sane\h04_w37_ch5.pt
h04,37,data_down\per_channel\sane\h04_w37_ch6.pt
h04,37,data_down\per_channel\sane\h04_w37_ch7.pt
h04,37,data_down\per_channel\sane\h04_w37_ch8.pt
h04,37,data_down\per_channel\sane\h04_w37_ch9.pt
h04,37,data_down\per_channel\sane\h04_w37_ch10.pt
h04,37,data_down\per_channel\sane\h04_w37_ch11.pt
h04,37,data_down\per_channel\sane\h04_w37_ch12.pt
h04,37,data_down\per_channel\sane\h04_w37_ch13.pt
h04,37,data_down\per_channel\sane\h04_w37_ch14.pt
h04,37,data_down\per_channel\sane\h04_w37_ch15.pt
h04,37,data_down\per_channel\sane\h04_w37_ch16.pt
h04,37,data_down\per_channel\sane\h04_w37_ch17.pt
h04,37,data_down\per_channel\sane\h04_w37_ch18.pt
h04,37,data_down\per_channel\sane\h04_w37_ch19.pt
h04,38,data_down\per_channel\sane\h04_w38_ch1.pt
h04,38,data_down\per_channel\sane\h04_w38_ch2.pt
h04,38,data_down\per_channel\sane\h04_w38_ch3.pt
h04,38,data_down\per_channel\sane\h04_w38_ch4.pt
h04,38,data_down\per_channel\sane\h04_w38_ch5.pt
h04,38,data_down\per_channel\sane\h04_w38_ch6.pt
h04,38,data_down\per_channel\sane\h04_w38_ch7.pt
h04,38,data_down\per_channel\sane\h04_w38_ch8.pt
h04,38,data_down\per_channel\sane\h04_w38_ch9.pt
h04,38,data_down\per_channel\sane\h04_w38_ch10.pt
h04,38,data_down\per_channel\sane\h04_w38_ch11.pt
h04,38,data_down\per_channel\sane\h04_w38_ch12.pt
h04,38,data_down\per_channel\sane\h04_w38_ch13.pt
h04,38,data_down\per_channel\sane\h04_w38_ch14.pt
h04,38,data_down\per_channel\sane\h04_w38_ch15.pt
h04,38,data_down\per_channel\sane\h04_w38_ch16.pt
h04,38,data_down\per_channel\sane\h04_w38_ch17.pt
h04,38,data_down\per_channel\sane\h04_w38_ch18.pt
h04,38,data_down\per_channel\sane\h04_w38_ch19.pt
h04,39,data_down\per_channel\sane\h04_w39_ch1.pt
h04,39,data_down\per_channel\sane\h04_w39_ch2.pt
h04,39,data_down\per_channel\sane\h04_w39_ch3.pt
h04,39,data_down\per_channel\sane\h04_w39_ch4.pt
h04,39,data_down\per_channel\sane\h04_w39_ch5.pt
h04,39,data_down\per_channel\sane\h04_w39_ch6.pt
h04,39,data_down\per_channel\sane\h04_w39_ch7.pt
h04,39,data_down\per_channel\sane\h04_w39_ch8.pt
h04,39,data_down\per_channel\sane\h04_w39_ch9.pt
h04,39,data_down\per_channel\sane\h04_w39_ch10.pt
h04,39,data_down\per_channel\sane\h04_w39_ch11.pt
h04,39,data_down\per_channel\sane\h04_w39_ch12.pt
h04,39,data_down\per_channel\sane\h04_w39_ch13.pt
h04,39,data_down\per_channel\sane\h04_w39_ch14.pt
h04,39,data_down\per_channel\sane\h04_w39_ch15.pt
h04,39,data_down\per_channel\sane\h04_w39_ch16.pt
h04,39,data_down\per_channel\sane\h04_w39_ch17.pt
h04,39,data_down\per_channel\sane\h04_w39_ch18.pt
h04,39,data_down\per_channel\sane\h04_w39_ch19.pt
h04,40,data_down\per_channel\sane\h04_w40_ch1.pt
h04,40,data_down\per_channel\sane\h04_w40_ch2.pt
h04,40,data_down\per_channel\sane\h04_w40_ch3.pt
h04,40,data_down\per_channel\sane\h04_w40_ch4.pt
h04,40,data_down\per_channel\sane\h04_w40_ch5.pt
h04,40,data_down\per_channel\sane\h04_w40_ch6.pt
h04,40,data_down\per_channel\sane\h04_w40_ch7.pt
h04,40,data_down\per_channel\sane\h04_w40_ch8.pt
h04,40,data_down\per_channel\sane\h04_w40_ch9.pt
h04,40,data_down\per_channel\sane\h04_w40_ch10.pt
h04,40,data_down\per_channel\sane\h04_w40_ch11.pt
h04,40,data_down\per_channel\sane\h04_w40_ch12.pt
h04,40,data_down\per_channel\sane\h04_w40_ch13.pt
h04,40,data_down\per_channel\sane\h04_w40_ch14.pt
h04,40,data_down\per_channel\sane\h04_w40_ch15.pt
h04,40,data_down\per_channel\sane\h04_w40_ch16.pt
h04,40,data_down\per_channel\sane\h04_w40_ch17.pt
h04,40,data_down\per_channel\sane\h04_w40_ch18.pt
h04,40,data_down\per_channel\sane\h04_w40_ch19.pt
h04,41,data_down\per_channel\sane\h04_w41_ch1.pt
h04,41,data_down\per_channel\sane\h04_w41_ch2.pt
h04,41,data_down\per_channel\sane\h04_w41_ch3.pt
h04,41,data_down\per_channel\sane\h04_w41_ch4.pt
h04,41,data_down\per_channel\sane\h04_w41_ch5.pt
h04,41,data_down\per_channel\sane\h04_w41_ch6.pt
h04,41,data_down\per_channel\sane\h04_w41_ch7.pt
h04,41,data_down\per_channel\sane\h04_w41_ch8.pt
h04,41,data_down\per_channel\sane\h04_w41_ch9.pt
h04,41,data_down\per_channel\sane\h04_w41_ch10.pt
h04,41,data_down\per_channel\sane\h04_w41_ch11.pt
h04,41,data_down\per_channel\sane\h04_w41_ch12.pt
h04,41,data_down\per_channel\sane\h04_w41_ch13.pt
h04,41,data_down\per_channel\sane\h04_w41_ch14.pt
h04,41,data_down\per_channel\sane\h04_w41_ch15.pt
h04,41,data_down\per_channel\sane\h04_w41_ch16.pt
h04,41,data_down\per_channel\sane\h04_w41_ch17.pt
h04,41,data_down\per_channel\sane\h04_w41_ch18.pt
h04,41,data_down\per_channel\sane\h04_w41_ch19.pt
h04,42,data_down\per_channel\sane\h04_w42_ch1.pt
h04,42,data_down\per_channel\sane\h04_w42_ch2.pt
h04,42,data_down\per_channel\sane\h04_w42_ch3.pt
h04,42,data_down\per_channel\sane\h04_w42_ch4.pt
h04,42,data_down\per_channel\sane\h04_w42_ch5.pt
h04,42,data_down\per_channel\sane\h04_w42_ch6.pt
h04,42,data_down\per_channel\sane\h04_w42_ch7.pt
h04,42,data_down\per_channel\sane\h04_w42_ch8.pt
h04,42,data_down\per_channel\sane\h04_w42_ch9.pt
h04,42,data_down\per_channel\sane\h04_w42_ch10.pt
h04,42,data_down\per_channel\sane\h04_w42_ch11.pt
h04,42,data_down\per_channel\sane\h04_w42_ch12.pt
h04,42,data_down\per_channel\sane\h04_w42_ch13.pt
h04,42,data_down\per_channel\sane\h04_w42_ch14.pt
h04,42,data_down\per_channel\sane\h04_w42_ch15.pt
h04,42,data_down\per_channel\sane\h04_w42_ch16.pt
h04,42,data_down\per_channel\sane\h04_w42_ch17.pt
h04,42,data_down\per_channel\sane\h04_w42_ch18.pt
h04,42,data_down\per_channel\sane\h04_w42_ch19.pt
h04,43,data_down\per_channel\sane\h04_w43_ch1.pt
h04,43,data_down\per_channel\sane\h04_w43_ch2.pt
h04,43,data_down\per_channel\sane\h04_w43_ch3.pt
h04,43,data_down\per_channel\sane\h04_w43_ch4.pt
h04,43,data_down\per_channel\sane\h04_w43_ch5.pt
h04,43,data_down\per_channel\sane\h04_w43_ch6.pt
h04,43,data_down\per_channel\sane\h04_w43_ch7.pt
h04,43,data_down\per_channel\sane\h04_w43_ch8.pt
h04,43,data_down\per_channel\sane\h04_w43_ch9.pt
h04,43,data_down\per_channel\sane\h04_w43_ch10.pt
h04,43,data_down\per_channel\sane\h04_w43_ch11.pt
h04,43,data_down\per_channel\sane\h04_w43_ch12.pt
h04,43,data_down\per_channel\sane\h04_w43_ch13.pt
h04,43,data_down\per_channel\sane\h04_w43_ch14.pt
h04,43,data_down\per_channel\sane\h04_w43_ch15.pt
h04,43,data_down\per_channel\sane\h04_w43_ch16.pt
h04,43,data_down\per_channel\sane\h04_w43_ch17.pt
h04,43,data_down\per_channel\sane\h04_w43_ch18.pt
h04,43,data_down\per_channel\sane\h04_w43_ch19.pt
h04,44,data_down\per_channel\sane\h04_w44_ch1.pt
h04,44,data_down\per_channel\sane\h04_w44_ch2.pt
h04,44,data_down\per_channel\sane\h04_w44_ch3.pt
h04,44,data_down\per_channel\sane\h04_w44_ch4.pt
h04,44,data_down\per_channel\sane\h04_w44_ch5.pt
h04,44,data_down\per_channel\sane\h04_w44_ch6.pt
h04,44,data_down\per_channel\sane\h04_w44_ch7.pt
h04,44,data_down\per_channel\sane\h04_w44_ch8.pt
h04,44,data_down\per_channel\sane\h04_w44_ch9.pt
h04,44,data_down\per_channel\sane\h04_w44_ch10.pt
h04,44,data_down\per_channel\sane\h04_w44_ch11.pt
h04,44,data_down\per_channel\sane\h04_w44_ch12.pt
h04,44,data_down\per_channel\sane\h04_w44_ch13.pt
h04,44,data_down\per_channel\sane\h04_w44_ch14.pt
h04,44,data_down\per_channel\sane\h04_w44_ch15.pt
h04,44,data_down\per_channel\sane\h04_w44_ch16.pt
h04,44,data_down\per_channel\sane\h04_w44_ch17.pt
h04,44,data_down\per_channel\sane\h04_w44_ch18.pt
h04,44,data_down\per_channel\sane\h04_w44_ch19.pt
h04,45,data_down\per_channel\sane\h04_w45_ch1.pt
h04,45,data_down\per_channel\sane\h04_w45_ch2.pt
h04,45,data_down\per_channel\sane\h04_w45_ch3.pt
h04,45,data_down\per_channel\sane\h04_w45_ch4.pt
h04,45,data_down\per_channel\sane\h04_w45_ch5.pt
h04,45,data_down\per_channel\sane\h04_w45_ch6.pt
h04,45,data_down\per_channel\sane\h04_w45_ch7.pt
h04,45,data_down\per_channel\sane\h04_w45_ch8.pt
h04,45,data_down\per_channel\sane\h04_w45_ch9.pt
h04,45,data_down\per_channel\sane\h04_w45_ch10.pt
h04,45,data_down\per_channel\sane\h04_w45_ch11.pt
h04,45,data_down\per_channel\sane\h04_w45_ch12.pt
h04,45,data_down\per_channel\sane\h04_w45_ch13.pt
h04,45,data_down\per_channel\sane\h04_w45_ch14.pt
h04,45,data_down\per_channel\sane\h04_w45_ch15.pt
h04,45,data_down\per_channel\sane\h04_w45_ch16.pt
h04,45,data_down\per_channel\sane\h04_w45_ch17.pt
h04,45,data_down\per_channel\sane\h04_w45_ch18.pt
h04,45,data_down\per_channel\sane\h04_w45_ch19.pt
h04,46,data_down\per_channel\sane\h04_w46_ch1.pt
h04,46,data_down\per_channel\sane\h04_w46_ch2.pt
h04,46,data_down\per_channel\sane\h04_w46_ch3.pt
h04,46,data_down\per_channel\sane\h04_w46_ch4.pt
h04,46,data_down\per_channel\sane\h04_w46_ch5.pt
h04,46,data_down\per_channel\sane\h04_w46_ch6.pt
h04,46,data_down\per_channel\sane\h04_w46_ch7.pt
h04,46,data_down\per_channel\sane\h04_w46_ch8.pt
h04,46,data_down\per_channel\sane\h04_w46_ch9.pt
h04,46,data_down\per_channel\sane\h04_w46_ch10.pt
h04,46,data_down\per_channel\sane\h04_w46_ch11.pt
h04,46,data_down\per_channel\sane\h04_w46_ch12.pt
h04,46,data_down\per_channel\sane\h04_w46_ch13.pt
h04,46,data_down\per_channel\sane\h04_w46_ch14.pt
h04,46,data_down\per_channel\sane\h04_w46_ch15.pt
h04,46,data_down\per_channel\sane\h04_w46_ch16.pt
h04,46,data_down\per_channel\sane\h04_w46_ch17.pt
h04,46,data_down\per_channel\sane\h04_w46_ch18.pt
h04,46,data_down\per_channel\sane\h04_w46_ch19.pt
h04,47,data_down\per_channel\sane\h04_w47_ch1.pt
h04,47,data_down\per_channel\sane\h04_w47_ch2.pt
h04,47,data_down\per_channel\sane\h04_w47_ch3.pt
h04,47,data_down\per_channel\sane\h04_w47_ch4.pt
h04,47,data_down\per_channel\sane\h04_w47_ch5.pt
h04,47,data_down\per_channel\sane\h04_w47_ch6.pt
h04,47,data_down\per_channel\sane\h04_w47_ch7.pt
h04,47,data_down\per_channel\sane\h04_w47_ch8.pt
h04,47,data_down\per_channel\sane\h04_w47_ch9.pt
h04,47,data_down\per_channel\sane\h04_w47_ch10.pt
h04,47,data_down\per_channel\sane\h04_w47_ch11.pt
h04,47,data_down\per_channel\sane\h04_w47_ch12.pt
h04,47,data_down\per_channel\sane\h04_w47_ch13.pt
h04,47,data_down\per_channel\sane\h04_w47_ch14.pt
h04,47,data_down\per_channel\sane\h04_w47_ch15.pt
h04,47,data_down\per_channel\sane\h04_w47_ch16.pt
h04,47,data_down\per_channel\sane\h04_w47_ch17.pt
h04,47,data_down\per_channel\sane\h04_w47_ch18.pt
h04,47,data_down\per_channel\sane\h04_w47_ch19.pt
h04,48,data_down\per_channel\sane\h04_w48_ch1.pt
h04,48,data_down\per_channel\sane\h04_w48_ch2.pt
h04,48,data_down\per_channel\sane\h04_w48_ch3.pt
h04,48,data_down\per_channel\sane\h04_w48_ch4.pt
h04,48,data_down\per_channel\sane\h04_w48_ch5.pt
h04,48,data_down\per_channel\sane\h04_w48_ch6.pt
h04,48,data_down\per_channel\sane\h04_w48_ch7.pt
h04,48,data_down\per_channel\sane\h04_w48_ch8.pt
h04,48,data_down\per_channel\sane\h04_w48_ch9.pt
h04,48,data_down\per_channel\sane\h04_w48_ch10.pt
h04,48,data_down\per_channel\sane\h04_w48_ch11.pt
h04,48,data_down\per_channel\sane\h04_w48_ch12.pt
h04,48,data_down\per_channel\sane\h04_w48_ch13.pt
h04,48,data_down\per_channel\sane\h04_w48_ch14.pt
h04,48,data_down\per_channel\sane\h04_w48_ch15.pt
h04,48,data_down\per_channel\sane\h04_w48_ch16.pt
h04,48,data_down\per_channel\sane\h04_w48_ch17.pt
h04,48,data_down\per_channel\sane\h04_w48_ch18.pt
h04,48,data_down\per_channel\sane\h04_w48_ch19.pt
h04,49,data_down\per_channel\sane\h04_w49_ch1.pt
h04,49,data_down\per_channel\sane\h04_w49_ch2.pt
h04,49,data_down\per_channel\sane\h04_w49_ch3.pt
h04,49,data_down\per_channel\sane\h04_w49_ch4.pt
h04,49,data_down\per_channel\sane\h04_w49_ch5.pt
h04,49,data_down\per_channel\sane\h04_w49_ch6.pt
h04,49,data_down\per_channel\sane\h04_w49_ch7.pt
h04,49,data_down\per_channel\sane\h04_w49_ch8.pt
h04,49,data_down\per_channel\sane\h04_w49_ch9.pt
h04,49,data_down\per_channel\sane\h04_w49_ch10.pt
h04,49,data_down\per_channel\sane\h04_w49_ch11.pt
h04,49,data_down\per_channel\sane\h04_w49_ch12.pt
h04,49,data_down\per_channel\sane\h04_w49_ch13.pt
h04,49,data_down\per_channel\sane\h04_w49_ch14.pt
h04,49,data_down\per_channel\sane\h04_w49_ch15.pt
h04,49,data_down\per_channel\sane\h04_w49_ch16.pt
h04,49,data_down\per_channel\sane\h04_w49_ch17.pt
h04,49,data_down\per_channel\sane\h04_w49_ch18.pt
h04,49,data_down\per_channel\sane\h04_w49_ch19.pt
h04,50,data_down\per_channel\sane\h04_w50_ch1.pt
h04,50,data_down\per_channel\sane\h04_w50_ch2.pt
h04,50,data_down\per_channel\sane\h04_w50_ch3.pt
h04,50,data_down\per_channel\sane\h04_w50_ch4.pt
h04,50,data_down\per_channel\sane\h04_w50_ch5.pt
h04,50,data_down\per_channel\sane\h04_w50_ch6.pt
h04,50,data_down\per_channel\sane\h04_w50_ch7.pt
h04,50,data_down\per_channel\sane\h04_w50_ch8.pt
h04,50,data_down\per_channel\sane\h04_w50_ch9.pt
h04,50,data_down\per_channel\sane\h04_w50_ch10.pt
h04,50,data_down\per_channel\sane\h04_w50_ch11.pt
h04,50,data_down\per_channel\sane\h04_w50_ch12.pt
h04,50,data_down\per_channel\sane\h04_w50_ch13.pt
h04,50,data_down\per_channel\sane\h04_w50_ch14.pt
h04,50,data_down\per_channel\sane\h04_w50_ch15.pt
h04,50,data_down\per_channel\sane\h04_w50_ch16.pt
h04,50,data_down\per_channel\sane\h04_w50_ch17.pt
h04,50,data_down\per_channel\sane\h04_w50_ch18.pt
h04,50,data_down\per_channel\sane\h04_w50_ch19.pt
h04,51,data_down\per_channel\sane\h04_w51_ch1.pt
h04,51,data_down\per_channel\sane\h04_w51_ch2.pt
h04,51,data_down\per_channel\sane\h04_w51_ch3.pt
h04,51,data_down\per_channel\sane\h04_w51_ch4.pt
h04,51,data_down\per_channel\sane\h04_w51_ch5.pt
h04,51,data_down\per_channel\sane\h04_w51_ch6.pt
h04,51,data_down\per_channel\sane\h04_w51_ch7.pt
h04,51,data_down\per_channel\sane\h04_w51_ch8.pt
h04,51,data_down\per_channel\sane\h04_w51_ch9.pt
h04,51,data_down\per_channel\sane\h04_w51_ch10.pt
h04,51,data_down\per_channel\sane\h04_w51_ch11.pt
h04,51,data_down\per_channel\sane\h04_w51_ch12.pt
h04,51,data_down\per_channel\sane\h04_w51_ch13.pt
h04,51,data_down\per_channel\sane\h04_w51_ch14.pt
h04,51,data_down\per_channel\sane\h04_w51_ch15.pt
h04,51,data_down\per_channel\sane\h04_w51_ch16.pt
h04,51,data_down\per_channel\sane\h04_w51_ch17.pt
h04,51,data_down\per_channel\sane\h04_w51_ch18.pt
h04,51,data_down\per_channel\sane\h04_w51_ch19.pt
h04,52,data_down\per_channel\sane\h04_w52_ch1.pt
h04,52,data_down\per_channel\sane\h04_w52_ch2.pt
h04,52,data_down\per_channel\sane\h04_w52_ch3.pt
h04,52,data_down\per_channel\sane\h04_w52_ch4.pt
h04,52,data_down\per_channel\sane\h04_w52_ch5.pt
h04,52,data_down\per_channel\sane\h04_w52_ch6.pt
h04,52,data_down\per_channel\sane\h04_w52_ch7.pt
h04,52,data_down\per_channel\sane\h04_w52_ch8.pt
h04,52,data_down\per_channel\sane\h04_w52_ch9.pt
h04,52,data_down\per_channel\sane\h04_w52_ch10.pt
h04,52,data_down\per_channel\sane\h04_w52_ch11.pt
h04,52,data_down\per_channel\sane\h04_w52_ch12.pt
h04,52,data_down\per_channel\sane\h04_w52_ch13.pt
h04,52,data_down\per_channel\sane\h04_w52_ch14.pt
h04,52,data_down\per_channel\sane\h04_w52_ch15.pt
h04,52,data_down\per_channel\sane\h04_w52_ch16.pt
h04,52,data_down\per_channel\sane\h04_w52_ch17.pt
h04,52,data_down\per_channel\sane\h04_w52_ch18.pt
h04,52,data_down\per_channel\sane\h04_w52_ch19.pt
h04,53,data_down\per_channel\sane\h04_w53_ch1.pt
h04,53,data_down\per_channel\sane\h04_w53_ch2.pt
h04,53,data_down\per_channel\sane\h04_w53_ch3.pt
h04,53,data_down\per_channel\sane\h04_w53_ch4.pt
h04,53,data_down\per_channel\sane\h04_w53_ch5.pt
h04,53,data_down\per_channel\sane\h04_w53_ch6.pt
h04,53,data_down\per_channel\sane\h04_w53_ch7.pt
h04,53,data_down\per_channel\sane\h04_w53_ch8.pt
h04,53,data_down\per_channel\sane\h04_w53_ch9.pt
h04,53,data_down\per_channel\sane\h04_w53_ch10.pt
h04,53,data_down\per_channel\sane\h04_w53_ch11.pt
h04,53,data_down\per_channel\sane\h04_w53_ch12.pt
h04,53,data_down\per_channel\sane\h04_w53_ch13.pt
h04,53,data_down\per_channel\sane\h04_w53_ch14.pt
h04,53,data_down\per_channel\sane\h04_w53_ch15.pt
h04,53,data_down\per_channel\sane\h04_w53_ch16.pt
h04,53,data_down\per_channel\sane\h04_w53_ch17.pt
h04,53,data_down\per_channel\sane\h04_w53_ch18.pt
h04,53,data_down\per_channel\sane\h04_w53_ch19.pt
h04,54,data_down\per_channel\sane\h04_w54_ch1.pt
h04,54,data_down\per_channel\sane\h04_w54_ch2.pt
h04,54,data_down\per_channel\sane\h04_w54_ch3.pt
h04,54,data_down\per_channel\sane\h04_w54_ch4.pt
h04,54,data_down\per_channel\sane\h04_w54_ch5.pt
h04,54,data_down\per_channel\sane\h04_w54_ch6.pt
h04,54,data_down\per_channel\sane\h04_w54_ch7.pt
h04,54,data_down\per_channel\sane\h04_w54_ch8.pt
h04,54,data_down\per_channel\sane\h04_w54_ch9.pt
h04,54,data_down\per_channel\sane\h04_w54_ch10.pt
h04,54,data_down\per_channel\sane\h04_w54_ch11.pt
h04,54,data_down\per_channel\sane\h04_w54_ch12.pt
h04,54,data_down\per_channel\sane\h04_w54_ch13.pt
h04,54,data_down\per_channel\sane\h04_w54_ch14.pt
h04,54,data_down\per_channel\sane\h04_w54_ch15.pt
h04,54,data_down\per_channel\sane\h04_w54_ch16.pt
h04,54,data_down\per_channel\sane\h04_w54_ch17.pt
h04,54,data_down\per_channel\sane\h04_w54_ch18.pt
h04,54,data_down\per_channel\sane\h04_w54_ch19.pt
h04,55,data_down\per_channel\sane\h04_w55_ch1.pt
h04,55,data_down\per_channel\sane\h04_w55_ch2.pt
h04,55,data_down\per_channel\sane\h04_w55_ch3.pt
h04,55,data_down\per_channel\sane\h04_w55_ch4.pt
h04,55,data_down\per_channel\sane\h04_w55_ch5.pt
h04,55,data_down\per_channel\sane\h04_w55_ch6.pt
h04,55,data_down\per_channel\sane\h04_w55_ch7.pt
h04,55,data_down\per_channel\sane\h04_w55_ch8.pt
h04,55,data_down\per_channel\sane\h04_w55_ch9.pt
h04,55,data_down\per_channel\sane\h04_w55_ch10.pt
h04,55,data_down\per_channel\sane\h04_w55_ch11.pt
h04,55,data_down\per_channel\sane\h04_w55_ch12.pt
h04,55,data_down\per_channel\sane\h04_w55_ch13.pt
h04,55,data_down\per_channel\sane\h04_w55_ch14.pt
h04,55,data_down\per_channel\sane\h04_w55_ch15.pt
h04,55,data_down\per_channel\sane\h04_w55_ch16.pt
h04,55,data_down\per_channel\sane\h04_w55_ch17.pt
h04,55,data_down\per_channel\sane\h04_w55_ch18.pt
h04,55,data_down\per_channel\sane\h04_w55_ch19.pt
h04,56,data_down\per_channel\sane\h04_w56_ch1.pt
h04,56,data_down\per_channel\sane\h04_w56_ch2.pt
h04,56,data_down\per_channel\sane\h04_w56_ch3.pt
h04,56,data_down\per_channel\sane\h04_w56_ch4.pt
h04,56,data_down\per_channel\sane\h04_w56_ch5.pt
h04,56,data_down\per_channel\sane\h04_w56_ch6.pt
h04,56,data_down\per_channel\sane\h04_w56_ch7.pt
h04,56,data_down\per_channel\sane\h04_w56_ch8.pt
h04,56,data_down\per_channel\sane\h04_w56_ch9.pt
h04,56,data_down\per_channel\sane\h04_w56_ch10.pt
h04,56,data_down\per_channel\sane\h04_w56_ch11.pt
h04,56,data_down\per_channel\sane\h04_w56_ch12.pt
h04,56,data_down\per_channel\sane\h04_w56_ch13.pt
h04,56,data_down\per_channel\sane\h04_w56_ch14.pt
h04,56,data_down\per_channel\sane\h04_w56_ch15.pt
h04,56,data_down\per_channel\sane\h04_w56_ch16.pt
h04,56,data_down\per_channel\sane\h04_w56_ch17.pt
h04,56,data_down\per_channel\sane\h04_w56_ch18.pt
h04,56,data_down\per_channel\sane\h04_w56_ch19.pt
h04,57,data_down\per_channel\sane\h04_w57_ch1.pt
h04,57,data_down\per_channel\sane\h04_w57_ch2.pt
h04,57,data_down\per_channel\sane\h04_w57_ch3.pt
h04,57,data_down\per_channel\sane\h04_w57_ch4.pt
h04,57,data_down\per_channel\sane\h04_w57_ch5.pt
h04,57,data_down\per_channel\sane\h04_w57_ch6.pt
h04,57,data_down\per_channel\sane\h04_w57_ch7.pt
h04,57,data_down\per_channel\sane\h04_w57_ch8.pt
h04,57,data_down\per_channel\sane\h04_w57_ch9.pt
h04,57,data_down\per_channel\sane\h04_w57_ch10.pt
h04,57,data_down\per_channel\sane\h04_w57_ch11.pt
h04,57,data_down\per_channel\sane\h04_w57_ch12.pt
h04,57,data_down\per_channel\sane\h04_w57_ch13.pt
h04,57,data_down\per_channel\sane\h04_w57_ch14.pt
h04,57,data_down\per_channel\sane\h04_w57_ch15.pt
h04,57,data_down\per_channel\sane\h04_w57_ch16.pt
h04,57,data_down\per_channel\sane\h04_w57_ch17.pt
h04,57,data_down\per_channel\sane\h04_w57_ch18.pt
h04,57,data_down\per_channel\sane\h04_w57_ch19.pt
h04,58,data_down\per_channel\sane\h04_w58_ch1.pt
h04,58,data_down\per_channel\sane\h04_w58_ch2.pt
h04,58,data_down\per_channel\sane\h04_w58_ch3.pt
h04,58,data_down\per_channel\sane\h04_w58_ch4.pt
h04,58,data_down\per_channel\sane\h04_w58_ch5.pt
h04,58,data_down\per_channel\sane\h04_w58_ch6.pt
h04,58,data_down\per_channel\sane\h04_w58_ch7.pt
h04,58,data_down\per_channel\sane\h04_w58_ch8.pt
h04,58,data_down\per_channel\sane\h04_w58_ch9.pt
h04,58,data_down\per_channel\sane\h04_w58_ch10.pt
h04,58,data_down\per_channel\sane\h04_w58_ch11.pt
h04,58,data_down\per_channel\sane\h04_w58_ch12.pt
h04,58,data_down\per_channel\sane\h04_w58_ch13.pt
h04,58,data_down\per_channel\sane\h04_w58_ch14.pt
h04,58,data_down\per_channel\sane\h04_w58_ch15.pt
h04,58,data_down\per_channel\sane\h04_w58_ch16.pt
h04,58,data_down\per_channel\sane\h04_w58_ch17.pt
h04,58,data_down\per_channel\sane\h04_w58_ch18.pt
h04,58,data_down\per_channel\sane\h04_w58_ch19.pt
h04,59,data_down\per_channel\sane\h04_w59_ch1.pt
h04,59,data_down\per_channel\sane\h04_w59_ch2.pt
h04,59,data_down\per_channel\sane\h04_w59_ch3.pt
h04,59,data_down\per_channel\sane\h04_w59_ch4.pt
h04,59,data_down\per_channel\sane\h04_w59_ch5.pt
h04,59,data_down\per_channel\sane\h04_w59_ch6.pt
h04,59,data_down\per_channel\sane\h04_w59_ch7.pt
h04,59,data_down\per_channel\sane\h04_w59_ch8.pt
h04,59,data_down\per_channel\sane\h04_w59_ch9.pt
h04,59,data_down\per_channel\sane\h04_w59_ch10.pt
h04,59,data_down\per_channel\sane\h04_w59_ch11.pt
h04,59,data_down\per_channel\sane\h04_w59_ch12.pt
h04,59,data_down\per_channel\sane\h04_w59_ch13.pt
h04,59,data_down\per_channel\sane\h04_w59_ch14.pt
h04,59,data_down\per_channel\sane\h04_w59_ch15.pt
h04,59,data_down\per_channel\sane\h04_w59_ch16.pt
h04,59,data_down\per_channel\sane\h04_w59_ch17.pt
h04,59,data_down\per_channel\sane\h04_w59_ch18.pt
h04,59,data_down\per_channel\sane\h04_w59_ch19.pt
h04,60,data_down\per_channel\sane\h04_w60_ch1.pt
h04,60,data_down\per_channel\sane\h04_w60_ch2.pt
h04,60,data_down\per_channel\sane\h04_w60_ch3.pt
h04,60,data_down\per_channel\sane\h04_w60_ch4.pt
h04,60,data_down\per_channel\sane\h04_w60_ch5.pt
h04,60,data_down\per_channel\sane\h04_w60_ch6.pt
h04,60,data_down\per_channel\sane\h04_w60_ch7.pt
h04,60,data_down\per_channel\sane\h04_w60_ch8.pt
h04,60,data_down\per_channel\sane\h04_w60_ch9.pt
h04,60,data_down\per_channel\sane\h04_w60_ch10.pt
h04,60,data_down\per_channel\sane\h04_w60_ch11.pt
h04,60,data_down\per_channel\sane\h04_w60_ch12.pt
h04,60,data_down\per_channel\sane\h04_w60_ch13.pt
h04,60,data_down\per_channel\sane\h04_w60_ch14.pt
h04,60,data_down\per_channel\sane\h04_w60_ch15.pt
h04,60,data_down\per_channel\sane\h04_w60_ch16.pt
h04,60,data_down\per_channel\sane\h04_w60_ch17.pt
h04,60,data_down\per_channel\sane\h04_w60_ch18.pt
h04,60,data_down\per_channel\sane\h04_w60_ch19.pt
h04,61,data_down\per_channel\sane\h04_w61_ch1.pt
h04,61,data_down\per_channel\sane\h04_w61_ch2.pt
h04,61,data_down\per_channel\sane\h04_w61_ch3.pt
h04,61,data_down\per_channel\sane\h04_w61_ch4.pt
h04,61,data_down\per_channel\sane\h04_w61_ch5.pt
h04,61,data_down\per_channel\sane\h04_w61_ch6.pt
h04,61,data_down\per_channel\sane\h04_w61_ch7.pt
